id,name,handle_name,channel_id,lease_time
1,"七瀬 すず菜 / Nanase Suzuna【にじさんじ】","@nanasesuzuna","UCtC3B1n4XMiJmrDtu1Ni5qw","2025-06-25 10:06:53"
2,"しぐれうい","@ui_shig","UCt30jJgChL8qeT9VPadidSw","2025-06-25 10:06:53"
3,"花芽すみれ / Kaga Sumire","@kagasumire","UCyLGcqYs7RsBb3L0SJfzGYA","2025-06-25 10:06:53"
4,"Kaga Nazuna","@kaganazuna","UCUbLukGFiOt63CDcJAWB9Tw","2025-06-25 10:06:53"
5,"花芽なずな / Nazuna Kaga","@nazunakaga","UCiMG6VdScBabPhJ1ZtaVmbw","2025-06-25 10:06:53"
6,"らっだぁ","@radaooo","UClNdVSK1uy2xFHTaXZYXopw","2025-06-25 10:06:53"
7,"緋月ゆい / Hizuki Yui","@hizuki_yui_","UCuk7vapXKckSw6yCGGDspDg","2025-06-25 10:06:53"
8,"かいりきベア／Kairiki bear","@kairikibear","UCp13SxKXbhCS0lb6Ty774iQ","2025-06-25 10:06:53"
9,"Eve","@ooo0eve0ooo","UCUXfRsEIJ9xO1DT7TbEWksw","2025-06-25 10:06:53"
10,"けんた食堂","@oi_ken","UCWsAvz-plMpc8dgiaoMb0XQ","2025-06-25 10:06:53"
11,"ぶいすぽっ!【公式】","@vspo77","UCuI5XaO-6VkOEhHao6ij7JA","2025-06-25 10:06:53"
12,"英リサ.Hanabusa Lisa","@lisahanabusa","UCurEA8YoqFwimJcAuSHU0MQ","2025-06-25 10:06:53"
13,"ルンルン / Lunlun【にじさんじ】","@lunlun_nijisanji","UCzNXpqpdvlibmNc1JpM1o4g","2025-06-25 10:06:53"
14,"リゼ・ヘルエスタ -Lize Helesta-","@lizehelesta","UCZ1xuCK1kNmn5RzPYIZop3w","2025-06-25 10:06:53"
15,"アンジュ・カトリーナ - Ange Katrina -","@angekatrina","UCHVXbQzkl3rDfsXWo8xi2qw","2025-06-25 10:06:53"
16,"戌亥とこ -Inui Toko-","@inuitoko","UCXRlIK3Cw_TJIQC5kSJJQMg","2025-06-25 10:06:53"
17,"橘ひなの / Hinano Tachibana","@hinanotachiba7","UCvUc0m317LWTTPZoBQV479A","2025-06-25 10:06:53"
18,"空澄セナ -Asumi Sena-","@asumi_sena","UCF_U2GCKHvDz52jWdizppIA","2025-06-25 10:06:53"
19,"Miko Ch. さくらみこ","@sakuramiko","UC-hM6YJuNYVAmUWxeIr9FeA","2025-06-25 10:06:53"
20,"hololive ホロライブ - VTuber Group","@hololive","UCJFZiqLMntJufDCHc6bQixg","2025-06-25 10:06:53"
21,"Suisei Channel","@hoshimachisuisei","UC5CwaMl1eIgY8h02uZw7u8A","2025-06-25 10:06:53"
22,"にじさんじ","@nijisanji","UCX7YkU9nEeaoZbkVLVajcMg","2025-06-25 10:06:53"
23,"AZKi Channel","@azki","UC0TXe_LYZ4scaW2XMyi5_kw","2025-06-25 10:06:53"
24,"Marine Ch. 宝鐘マリン","@houshoumarine","UCCzUftO8KOVkV4wQG1vkUvg","2025-06-25 10:06:53"
25,"Subaru Ch. 大空スバル","@oozorasubaru","UCvzGlP9oQwU--Y0r9id_jnA","2025-06-25 10:06:53"
26,"千燈ゆうひ","@sendoyuuhi","UCuDY3ibSP2MFRgf7eo3cojg","2025-06-25 10:06:53"
27,"のりぷろチャンネル","@noripuro","UC7n-PXnu4aNHARQN0qcr_gg","2025-06-25 10:06:53"
28,"Tamaki Ch. 犬山たまき / 佃煮のりお","@noripro","UC8NZiqKx6fsDT3AVcMiVFyA","2025-06-25 10:06:53"
29,"天宮 こころ / Amamya Ch.","@amamiyakokoro","UCkIimWZ9gBJRamKF0rmPU8w","2025-06-25 10:06:53"
30,"剣持刀也","@kenmochitoya","UCv1fFr156jc65EMiLbaLImw","2025-06-25 10:06:53"
31,"葉加瀬 冬雪 / Hakase Fuyuki","@hakasefuyuki","UCGYAYLDE7TZiiC8U6teciDQ","2025-06-25 10:06:53"
32,"竜胆 尊 / Rindou Mikoto","@rindoumikoto","UCPvGypSgfDkVe7JG2KygK7A","2025-06-25 10:06:53"
33,"Watame Ch. 角巻わため","@tsunomakiwatame","UCqm3BQLlJfvkTsX_hvm0UmA","2025-06-25 10:06:53"
34,"Koyori ch. 博衣こより - holoX -","@hakuikoyori","UC6eWCld0KwmyHFbAqK3V-Rw","2025-06-25 10:06:53"
35,"Choco Ch. 癒月ちょこ","@yuzukichoco","UC1suqwovbL1kzsoaZgFZLKg","2025-06-25 10:06:53"
36,"Ao Ch. 火威青 ‐ ReGLOSS","@hiodoshiao","UCMGfV7TVTmHhEErVJg1oHBQ","2025-06-25 10:06:53"
37,"神楽めあ / KaguraMea","@kaguramea","UCWCc8tO-uUl_7SJXIKJACMw","2025-06-25 10:06:53"
38,"Kanata Ch. 天音かなた","@amanekanata","UCZlDXzGoo7d44bwdNObFacg","2025-06-25 10:06:53"
39,"ジョー・力一 Joe Rikiichi","@joerikiichi","UChUJbHiTVeGrSkTdBzVfNCQ","2025-06-25 10:06:53"
40,"胡桃のあ","@963noah","UCIcAj6WkJ8vZ7DeJVgmeqKw","2025-06-25 10:06:53"
41,"Tororo Ch. 猫麦とろろ","@tororo_vtuber","UC6sdN8CPm7v3UeV2mlqXmVw","2025-06-25 10:06:53"
42,"フブキCh。白上フブキ","@shirakamifubuki","UCdn5BQ06XqgXoAxIhbqw5Rg","2025-06-25 10:06:53"
43,"Met Channel / 小森めと ","@met_komori","UCzUNASdzI4PV5SlqtYwAkKQ","2025-06-25 10:06:53"
44,"小雀とと / Toto Kogara","@totokogara","UCgTzsBI0DIRopMylJEDqnog","2025-06-25 10:06:53"
45,"一ノ瀬うるは","@uruhaichinose","UC5LyYg6cCA4yHEYvtUsir3g","2025-06-25 10:06:53"
46,"兎咲ミミ / Tosaki Mimi","@tosakimimi3369","UCnvVG9RbOW3J6Ifqo-zKLiw","2025-06-25 10:06:53"
47,"如月れん -Ren kisaragi-","@ren_kisaragi__","UCGWa1dMU_sDCaRQjdabsVgg","2025-06-25 10:06:53"
48,"神成きゅぴ / Kaminari Qpi","@kaminariqpi","UCMp55EbT_ZlqiMS3lCj01BQ","2025-06-25 10:06:53"
49,"八雲べに","@yakumo_beni","UCjXBuHmWkieBApgBhDuJMMQ","2025-06-25 10:06:53"
50,"藍沢エマ / Aizawa Ema","@aizawaema","UCPkKpOHxEDcwmUAnRpIu-Ng","2025-06-25 10:06:53"
51,"紫宮るな /shinomiya runa","@shinomiyaruna","UCD5W21JqNMv_tV9nfjvF9sw","2025-06-25 10:06:53"
52,"猫汰つな / Nekota Tsuna","@tsuna_nekota","UCIjdfjcSaEgdjwbgjxC3ZWg","2025-06-25 10:06:53"
53,"白波らむね / Shiranami Ramune","@shiranamiramune","UC61OwuYOVuKkpKnid-43Twg","2025-06-25 10:06:53"
54,"Akari ch.夢野あかり","@akarindao","UCS5l_Y0oMVTjEos2LuyeSZQ","2025-06-25 10:06:53"
55,"夜乃くろむ / Yano Kuromu","@yanokuromu","UCX4WL24YEOUYd7qDsFSLDOw","2025-06-25 10:06:53"
56,"紡木こかげ","@kokage_tsumugi","UC-WX1CXssCtCtc2TNIRnJzg","2025-06-25 10:06:53"
57,"蝶屋はなび / Choya Hanabi","@hanabichoya","UCL9hJsdk9eQa0IlWbFB2oRg","2025-06-25 10:06:53"
58,"甘結もか / Amayui Moka","@moka_amayui","UC8vKBjGY2HVfbW9GAmgikWw","2025-06-25 10:06:53"
59,"アルス・アルマル -ars almal- 【にじさんじ】","@arsalmal","UCdpUojq0KWZCN9bxXnZwz5w","2025-06-25 10:06:53"
60,"Nakiri Ayame Ch. 百鬼あやめ","@nakiriayame","UC7fk0CB07ly8oSl0aqKkqFg","2025-06-18 01:09:47"
